Cefoperazone	Clindamycin	Streptomycin	ko	gene	pathway	grouping	KEGG_code
30	22	62	K01259	pepI;_proline_iminopeptidase_(Proline_aminopeptidase)_(PIP),_peptidase_S33_family_(EC:3.4.11.5)	Arginine_and_proline_metabolism;Metabolism;Amino_acid_metabolism	Stickland reactions	cdf:CD630_30410
744	870	546	K01777	prdF;_proline_racemase_(EC:5.1.1.4)	Arginine_and_proline_metabolism;Metabolism;Amino_acid_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps	Stickland reactions	cdf:CD630_32370
564	546	303	K10796	prdE;_proline_reductase_PrdE_(EC:1.21.4.1)	Arginine_and_proline_metabolism;Metabolism;Amino_acid_metabolism	Stickland reactions	cdf:CD630_32390
625	625	312	none	prdD;_proline_reductase_PrdD_(EC:1.21.4.1)	none	Stickland reactions	cdf:CD630_32400
968	1147	518	none	prdB;_proline_reductase_(EC:1.21.4.1)	none	Stickland reactions	cdf:CD630_32410
1042	1232	559	K10793	prdA;_D-proline_reductase_proprotein_prdA_(EC:1.21.4.1)	Arginine_and_proline_metabolism;Metabolism;Amino_acid_metabolism	Stickland reactions	cdf:CD630_32440
10	12	17	none	prdR;_sigma-54_dependent_transcriptional_regulator	none	Stickland reactions	cdf:CD630_32450
267	240	136	none	prdC;_electron_transfer_protein	none	Stickland reactions	cdf:CD630_32470
249	310	293	K10670	grdD;_glycine_reductase_complex_component_C_subunit_alpha_(Protein_PC_alpha)_(EC:1.21.4.3_1.21.4.4_1.21.4.2)	none	Stickland reactions	cdf:CD630_23480
246	300	283	K10670	grdC;_glycine_reductase_complex_component_C_subunit_beta_(Protein_PC_beta)_(EC:1.21.4.2)	none	Stickland reactions	cdf:CD630_23490
413	553	562	none	grdB;_glycine_reductase_complex_component_B_subunit_gamma_(EC:1.21.4.2)	none	Stickland reactions	cdf:CD630_23510
315	420	427	none	grdA;_glycine/sarcosine/betaine_reductase_complex_protein_A_(EC:1.21.4.2_1.21.4.3_1.21.4.4)	none	Stickland reactions	cdf:CD630_23520
367	464	536	K10670	grdE;_glycine_reductase_complex_component_B_subunits_alpha_and_beta_(EC:1.21.4.2)	none	Stickland reactions	cdf:CD630_23540
64	63	103	none	grdX;_glycine_reductase_complex_component	none	Stickland reactions	cdf:CD630_23570
240	86	372	none	hadA;_Isocaprenoyl-CoA:2-hydroxyisocaproate_CoA-transferase_(EC:2.8.3.-)	none	Stickland reactions	cdf:CD630_03950
260	97	381	none	hadI;_activator_of_2-hydroxyisocaproyl-CoA_dehydratase	none	Stickland reactions	cdf:CD630_03960
301	123	451	none	hadB;_subunit_of_oxygen-sensitive_2-hydroxyisocaproyl-CoA_dehydratase_B	none	Stickland reactions	cdf:CD630_03970
327	147	482	none	hadC;_subunit_of_oxygen-sensitive_2-hydroxyisocaproyl-CoA_dehydratase_C	none	Stickland reactions	cdf:CD630_03980
81	91	129	K01754	tdcB;_threonine_dehydratase_II_(EC:4.3.1.19)	Glycine,_serine_and_threonine_metabolism;Metabolism;Amino_acid_metabolism|Valine,_leucine_and_isoleucine_biosynthesis;Metabolism;Amino_acid_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Carbon_metabolism;Metabolism;Global_and_overview_maps|Biosynthesis_of_amino_acids;Metabolism;Global_and_overview_maps	Stickland reactions	cdf:CD630_25140
26	27	29	K02379	fdhD;_formate_dehydrogenase_formation_protein	none	Stickland reactions	cdf:CD630_33160
33	33	41	none	fdhF;_formate_dehydrogenase-H_(EC:1.2.1.2)	none	Stickland reactions	cdf:CD630_33170
7	3	8	K00606	panB;_3-methyl-2-oxobutanoate_hydroxymethyltransferase_(EC:2.1.2.11)	Pantothenate_and_CoA_biosynthesis;Metabolism;Metabolism_of_cofactors_and_vitamins|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps	Stickland reactions	cdf:CD630_15130
1	2	10	K01438	argE;_acetylornithine_deacetylase_ArgE_(EC:3.5.1.16)	Arginine_and_proline_metabolism;Metabolism;Amino_acid_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|2-Oxocarboxylic_acid_metabolism;Metabolism;Global_and_overview_maps|Biosynthesis_of_amino_acids;Metabolism;Global_and_overview_maps	Stickland reactions	cdf:CD630_03030
33	22	13	K01887	argS;_arginyl-tRNA_ligase_(EC:6.1.1.19)	Aminoacyl-tRNA_biosynthesis;Genetic_Information_Processing;Translation	Stickland reactions	cdf:CD630_07110
12	7	11	K01940	argG;_argininosuccinate_synthase_(EC:6.3.4.5)	Alanine,_aspartate_and_glutamate_metabolism;Metabolism;Amino_acid_metabolism|Arginine_and_proline_metabolism;Metabolism;Amino_acid_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Biosynthesis_of_amino_acids;Metabolism;Global_and_overview_maps	Stickland reactions	cdf:CD630_17850
4	3	4	none	argH;_Argininosuccinate_lyase_(Arginosuccinase)_(ASAL)_(EC:4.3.2.1)	none	Stickland reactions	cdf:CD630_25000
18	17	11	K01752	sdaB;_L-serine_dehydratase_(EC:4.3.1.17)	Glycine,_serine_and_threonine_metabolism;Metabolism;Amino_acid_metabolism|Cysteine_and_methionine_metabolism;Metabolism;Amino_acid_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Carbon_metabolism;Metabolism;Global_and_overview_maps|Biosynthesis_of_amino_acids;Metabolism;Global_and_overview_maps	Stickland reactions	cdf:CD630_32220
9	18	16	K01843	kamA;_L-lysine_2,3-aminomutase_(KAM)_(LAM)_(EC:5.4.3.2)	Lysine_degradation;Metabolism;Amino_acid_metabolism	Stickland reactions	cdf:CD630_22520
319	166	108	K01265	map1;_methionine_aminopeptidase_Map1_(MAP)_(Peptidase_M)_(EC:3.4.11.18)	none	Stickland reactions	cdf:CD630_00920
12	13	14	K01265	map2;_methionine_aminopeptidase_Map2_(MAP)_(Peptidase_M)_(EC:3.4.11.18)	none	Stickland reactions	cdf:CD630_15960
6	3	3	K00131	gapN;_glyceraldehyde-3-phosphate_dehydrogenase_(NADP(+))_(GADPH)_(EC:1.2.1.9)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_05800
3	13	2	K00134	gapB;_glyceraldehyde-3-phosphate_dehydrogenase_(EC:1.2.1.12)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Carbon_metabolism;Metabolism;Global_and_overview_maps|Biosynthesis_of_amino_acids;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_17670
387	101	73	K00134	gapA;_glyceraldehyde-3-phosphate_dehydrogenase_(EC:1.2.1.12)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Carbon_metabolism;Metabolism;Global_and_overview_maps|Biosynthesis_of_amino_acids;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_31740
260	51	48	K15633	gpmI;_phosphoglyceromutase_(EC:5.4.2.1)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Glycine,_serine_and_threonine_metabolism;Metabolism;Amino_acid_metabolism|Methane_metabolism;Metabolism;Energy_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Carbon_metabolism;Metabolism;Global_and_overview_maps|Biosynthesis_of_amino_acids;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_31710
64	16	17	K00850	pfkA;_6-phosphofructokinase_(EC:2.7.1.11)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Pentose_phosphate_pathway;Metabolism;Carbohydrate_metabolism|Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Galactose_metabolism;Metabolism;Carbohydrate_metabolism|Methane_metabolism;Metabolism;Energy_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Carbon_metabolism;Metabolism;Global_and_overview_maps|Biosynthesis_of_amino_acids;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_33950
64	16	17	K00850	pfkA;_6-phosphofructokinase_(EC:2.7.1.11)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Pentose_phosphate_pathway;Metabolism;Carbohydrate_metabolism|Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Galactose_metabolism;Metabolism;Carbohydrate_metabolism|Methane_metabolism;Metabolism;Energy_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Carbon_metabolism;Metabolism;Global_and_overview_maps|Biosynthesis_of_amino_acids;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_339501
213	44	35	K01803	tpi;_triosephosphate_isomerase_(EC:5.3.1.1)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Carbon_metabolism;Metabolism;Global_and_overview_maps|Biosynthesis_of_amino_acids;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_31720
139	30	29	K00873	pyk;_pyruvate_kinase_(EC:2.7.1.40)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Purine_metabolism;Metabolism;Nucleotide_metabolism|Pyruvate_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Carbon_metabolism;Metabolism;Global_and_overview_maps|Biosynthesis_of_amino_acids;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_33940
388	111	138	K01689	eno;_enolase_(2-phosphoglycerate_dehydratase)_(2-phospho-D-glycerate_hydro-lyase)_(EC:4.2.1.11)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Methane_metabolism;Metabolism;Energy_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Carbon_metabolism;Metabolism;Global_and_overview_maps|Biosynthesis_of_amino_acids;Metabolism;Global_and_overview_maps|RNA_degradation;Genetic_Information_Processing;Folding,_sorting_and_degradation	Monosaccharide catabolism	cdf:CD630_31700
18	25	44	K01835	pgm;_phosphoglucomutase_(EC:5.4.2.2)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Pentose_phosphate_pathway;Metabolism;Carbohydrate_metabolism|Galactose_metabolism;Metabolism;Carbohydrate_metabolism|Purine_metabolism;Metabolism;Nucleotide_metabolism|Starch_and_sucrose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Streptomycin_biosynthesis;Metabolism;Biosynthesis_of_other_secondary_metabolites|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_15770
19	8	4	K01835	pgm;_phosphoglucomutase_(EC:5.4.2.2)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Pentose_phosphate_pathway;Metabolism;Carbohydrate_metabolism|Galactose_metabolism;Metabolism;Carbohydrate_metabolism|Purine_metabolism;Metabolism;Nucleotide_metabolism|Starch_and_sucrose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Streptomycin_biosynthesis;Metabolism;Biosynthesis_of_other_secondary_metabolites|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_27800
8	4	4	K15634	phosphoglycerate_mutase	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Glycine,_serine_and_threonine_metabolism;Metabolism;Amino_acid_metabolism|Methane_metabolism;Metabolism;Energy_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Carbon_metabolism;Metabolism;Global_and_overview_maps|Biosynthesis_of_amino_acids;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_18140
29	18	19	K02226	cobC;_cobalamin_biosynthesis_phosphoglycerate_mutase_CobC_(EC:3.1.3.-)	Porphyrin_and_chlorophyll_metabolism;Metabolism;Metabolism_of_cofactors_and_vitamins|Metabolic_pathways;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_34360
29	16	13	K01784	galE;_UDP-glucose_4-epimerase_(EC:5.1.3.2)	Galactose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_27140
10	31	9	K00965	galactose-1-phosphate_uridylyltransferase_(EC:2.7.7.12)	Galactose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_13400
21	9	5	K00971	manC;_mannose-1-phosphate_guanylyltransferase_(EC:2.7.7.22)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_27790
11	5	5	K01809	pmi;_mannose-6-phosphate_isomerase_(Phosphomannose_isomerase)_(PMI)_(Phosphohexomutase)_(EC:5.3.1.8)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_24910
0	30	32	none	tagatose_6-phosphate_kinase	none	Monosaccharide catabolism	cdf:CD630_02090
34	25	21	K08302	tagatose-bisphosphate_aldolase_(EC:4.1.2.2)	Galactose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_30740
27	17	22	K02769	tagABC;_PTS_system_tagatose-specific_transporter_subunit_IIABC_(EC:2.7.1.69)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	Monosaccharide catabolism	cdf:CD630_30750
16	21	18	K08302	tagatose-bisphosphate_aldolase_(EC:4.1.2.-)	Galactose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_34480
13	18	16	none	phosphosugar_isomerase;_putative_tagatose-6-phosphate_ketose/aldose_isomerase_AgaS_(EC:5.-.-.-)	none	Monosaccharide catabolism	cdf:CD630_34490
31	23	15	K04041	fbp;_fructose-1,6-bisphosphatase_(EC:3.1.3.11)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Pentose_phosphate_pathway;Metabolism;Carbohydrate_metabolism|Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Methane_metabolism;Metabolism;Energy_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Carbon_metabolism;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_11910
5	4	115	K00882	fruK;_fructose_1-phosphate_kinase_(EC:2.7.1.56)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism	Monosaccharide catabolism	cdf:CD630_22700
290	265	261	K01624	fba;_fructose-1,6-bisphosphate_aldolase_(EC:4.1.2.13)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Pentose_phosphate_pathway;Metabolism;Carbohydrate_metabolism|Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Methane_metabolism;Metabolism;Energy_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Carbon_metabolism;Metabolism;Global_and_overview_maps|Biosynthesis_of_amino_acids;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_04030
16	11	3	K01805	xylA;_xylose_isomerase_(EC:5.3.1.5)	Pentose_and_glucuronate_interconversions;Metabolism;Carbohydrate_metabolism|Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps	Monosaccharide catabolism	cdf:CD630_30640
3	4	7	K03484	scrR;_LacI_family_transcriptional_regulator	none	Polysaccharide catabolism	cdf:CD630_18040
2	2	2	K00847	scrK;_fructokinase_(EC:2.7.1.4)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Starch_and_sucrose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps	Polysaccharide catabolism	cdf:CD630_18060
5	5	3	K00661	maa;_maltose_O-acetyltransferase_(EC:2.3.1.79)	none	Polysaccharide catabolism	cdf:CD630_08720
6	5	6	K00691	mapA;_maltose_phosphorylase_(EC:2.4.1.8)	Starch_and_sucrose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps	Polysaccharide catabolism	cdf:CD630_21880
5	5	3	K00661	maa;_maltose_O-acetyltransferase_(EC:2.3.1.79)	none	Polysaccharide catabolism	cdf:CD630_087201
7	4	3	none	maltose_O-acetyltransferase_(EC:2.3.1.79)	none	Polysaccharide catabolism	cdf:CD630_16670
19	15	22	K03486	treR;_GntR_family_transcriptional_regulator	none	Polysaccharide catabolism	cdf:CD630_30900
339	374	338	K01226	treA;_trehalose-6-phosphate_hydrolase_(EC:3.2.1.93)	Starch_and_sucrose_metabolism;Metabolism;Carbohydrate_metabolism	Polysaccharide catabolism	cdf:CD630_30910
5	72	18	K01223	bglA;_6-phospho-beta-glucosidase_(EC:3.2.1.86)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism	Polysaccharide catabolism	cdf:CD630_03890
31	17	16	K01223	6-phospho-beta-glucosidase_(EC:3.2.1.86)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism	Polysaccharide catabolism	cdf:CD630_08180
6	4	9	K01232	6-phospho-beta-glucosidase_(EC:3.2.1.86)	Starch_and_sucrose_metabolism;Metabolism;Carbohydrate_metabolism	Polysaccharide catabolism	cdf:CD630_13380
0	34	6	none	phospho-alpha-glucosidase_(EC:3.2.1.122)	none	Polysaccharide catabolism	cdf:CD630_30600
0	11	3	K01223	bglA;_6-phospho-beta-glucosidase_(EC:3.2.1.86)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism	Polysaccharide catabolism	cdf:CD630_30950
0	8	2	K01223	bglA;_6-phospho-beta-glucosidase_(EC:3.2.1.86)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism	Polysaccharide catabolism	cdf:CD630_30960
23	22	31	K03478	celG;_cellobiose-phosphate_degrading_protein	none	Polysaccharide catabolism	cdf:CD630_28810
15	7	14	K02759	PTS_system_lactose/cellobiose-family_transporter_subunit_IIA	Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_01350
22	18	38	K02760	PTS_system_lactose/cellobiose-family_transporter_subunit_IIB	Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_01360
32	20	42	K02761	PTS_system_lactose/cellobiose-family_transporter_subunit_IIC	Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_01370
0	12	11	K02768	PTS_system_fructose-like_transporter_subunit_IIA	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_02060
1	17	22	K11203	PTS_system_fructose-like_transporter_subunit_IIC	none	PEP group translocators	cdf:CD630_02070
1	19	20	K11202	PTS_system_fructose-like_transporter_subunit_IIB_(EC:2.7.1.69)	none	PEP group translocators	cdf:CD630_02080
