KEGG_ID	Degree_centrality	Betweenness_centrality	Closeness_centrality	Compound_name
K00526	10	23857.514081348	5.83767753836814e-06	ribonucleoside-diphosphate_reductase_beta_chain_[EC:1.17.4.1]
K00527	8	2950.53799842619	5.83243416639935e-06	ribonucleoside-triphosphate_reductase_[EC:1.17.4.2]
K00532	2	1	6.9041129181476e-07	ferredoxin_hydrogenase_[EC:1.12.7.2]
K00548	6	33883.5976984009	5.86307377505731e-06	5-methyltetrahydrofolate--homocysteine_methyltransferase_[EC:2.1.1.13]
K00558	4	3779.9	5.72576997291711e-06	DNA_(cytosine-5)-methyltransferase_1_[EC:2.1.1.37]
K00600	9	32146.8820446322	5.86961242949128e-06	glycine_hydroxymethyltransferase_[EC:2.1.2.1]
K00602	9	21010.781440606	5.85086153936167e-06	phosphoribosylaminoimidazolecarboxamide_formyltransferase_/_IMP_cyclohydrolase_[EC:2.1.2.3_3.5.4.10]
K00604	4	5626.85389967061	5.83515681983953e-06	methionyl-tRNA_formyltransferase_[EC:2.1.2.9]
K00606	2	2791.55281385281	5.7947163776069e-06	3-methyl-2-oxobutanoate_hydroxymethyltransferase_[EC:2.1.2.11]
K00609	5	1563.21367721486	5.84744028301611e-06	aspartate_carbamoyltransferase_catalytic_subunit_[EC:2.1.3.2]
K00611	3	731.333333333333	5.79928668773741e-06	ornithine_carbamoyltransferase_[EC:2.1.3.3]
K00615	13	79305.7299657271	5.87009480203105e-06	transketolase_[EC:2.2.1.1]
K00616	4	13147.1394362103	5.85689268415535e-06	transaldolase_[EC:2.2.1.2]
K00620	4	17940.7820106824	5.84696162639085e-06	glutamate_N-acetyltransferase_/_amino-acid_N-acetyltransferase_[EC:2.3.1.35_2.3.1.1]
K00626	7	34765.9215914411	5.86575630128871e-06	acetyl-CoA_C-acetyltransferase_[EC:2.3.1.9]
K00627	3	221.236904761905	5.86431155914451e-06	pyruvate_dehydrogenase_E2_component_(dihydrolipoamide_acetyltransferase)_[EC:2.3.1.12]
K00634	4	1365.82819637319	5.80285384352024e-06	phosphate_butyryltransferase_[EC:2.3.1.19]
K00645	4	10427	5.7973367035184e-06	[acyl-carrier-protein]_S-malonyltransferase_[EC:2.3.1.39]
K00648	7	60199.5454545454	5.8669952183989e-06	3-oxoacyl-[acyl-carrier-protein]_synthase_III_[EC:2.3.1.180]
K00651	4	743	5.63605723979733e-06	homoserine_O-succinyltransferase_[EC:2.3.1.46]
K00655	5	75.3333333333333	5.79908490440209e-06	1-acyl-sn-glycerol-3-phosphate_acyltransferase_[EC:2.3.1.51]
K00656	7	66584.3466822484	5.8969565807087e-06	formate_C-acetyltransferase_[EC:2.3.1.54]
K00657	2	698	5.63161362625233e-06	diamine_N-acetyltransferase_[EC:2.3.1.57]
K00674	4	392.691499669752	5.70786029441143e-06	2,3,4,5-tetrahydropyridine-2-carboxylate_N-succinyltransferase_[EC:2.3.1.117]
K00680	14	11965.4477371714	5.86981915087196e-06	phospholipid:diacylglycerol_acyltransferase_[EC:2.3.1.158]
K00681	15	5369	5.848192616072e-06	gamma-glutamyltranspeptidase_[EC:2.3.2.2]
K00688	3	1928.16666666667	5.74755585187399e-06	starch_phosphorylase_[EC:2.4.1.1]
K00691	3	9.5	5.68495136524107e-06	maltose_phosphorylase_[EC:2.4.1.8]
K00694	2	42	5.67894644185611e-06	cellulose_synthase_(UDP-forming)_[EC:2.4.1.12]
K00700	4	409.333333333333	5.67810805439627e-06	1,4-alpha-glucan_branching_enzyme_[EC:2.4.1.18]
K00703	4	425.666666666667	5.67817253695071e-06	starch_synthase_[EC:2.4.1.21]
K00756	12	14382.8663736807	5.77997930767408e-06	pyrimidine-nucleoside_phosphorylase_[EC:2.4.2.2]
K00759	8	7069.66875057583	5.82319611942211e-06	adenine_phosphoribosyltransferase_[EC:2.4.2.7]
K00760	18	24674.3082907093	5.83965475961061e-06	hypoxanthine_phosphoribosyltransferase_[EC:2.4.2.8]
K00761	4	1636.65314647233	5.76944157574988e-06	uracil_phosphoribosyltransferase_[EC:2.4.2.9]
K00762	6	10823.4574026407	5.81175718478482e-06	orotate_phosphoribosyltransferase_[EC:2.4.2.10]
K00763	2	145.657875457875	5.74768799250502e-06	nicotinate_phosphoribosyltransferase_[EC:6.3.4.21]
K00764	5	13425.2610474922	5.85229966115185e-06	amidophosphoribosyltransferase_[EC:2.4.2.14]
K00765	4	3100.97244559362	5.80386421279288e-06	ATP_phosphoribosyltransferase_[EC:2.4.2.17]
K00767	2	5751.65787545788	5.77757492070278e-06	nicotinate-nucleotide_pyrophosphorylase_(carboxylating)_[EC:2.4.2.19]
K00768	2	5	5.42826279305834e-06	nicotinate-nucleotide--dimethylbenzimidazole_phosphoribosyltransferase_[EC:2.4.2.21]
K00788	3	722	5.76358910220573e-06	thiamine-phosphate_pyrophosphorylase_[EC:2.5.1.3]
K00789	4	12730.5	5.79478353586102e-06	S-adenosylmethionine_synthetase_[EC:2.5.1.6]
K00790	4	4564	5.64968559499664e-06	UDP-N-acetylglucosamine_1-carboxyvinyltransferase_[EC:2.5.1.7]
K00793	3	3515	5.696155664542e-06	riboflavin_synthase_[EC:2.5.1.9]
K00794	3	4907	5.76564941392174e-06	6,7-dimethyl-8-ribityllumazine_synthase_[EC:2.5.1.78]
K00796	4	766.157142857143	5.76864281140576e-06	dihydropteroate_synthase_[EC:2.5.1.15]
K00797	12	12006.5	5.69959703848938e-06	spermidine_synthase_[EC:2.5.1.16]
K00800	4	7215	5.69537706243842e-06	3-phosphoshikimate_1-carboxyvinyltransferase_[EC:2.5.1.19]
K00805	2	698	5.55515434996361e-06	heptaprenyl_diphosphate_synthase_[EC:2.5.1.30]
K00806	2	8812.90952380952	5.62066155186465e-06	undecaprenyl_diphosphate_synthase_[EC:2.5.1.31]
K00812	29	65006.6469047764	5.9032922660968e-06	aspartate_aminotransferase_[EC:2.6.1.1]
K00817	12	12260.1895203128	5.83590599522623e-06	histidinol-phosphate_aminotransferase_[EC:2.6.1.9]
K00820	3	4702.89531396259	5.85394409483389e-06	glucosamine--fructose-6-phosphate_aminotransferase_(isomerizing)_[EC:2.6.1.16]
K00821	8	3787.99261876958	5.77684064585078e-06	acetylornithine/N-succinyldiaminopimelate_aminotransferase_[EC:2.6.1.11_2.6.1.17]
K00823	8	5160	5.81229765938773e-06	4-aminobutyrate_aminotransferase_[EC:2.6.1.19]
K00845	8	9995.41513276728	5.75291241190853e-06	glucokinase_[EC:2.7.1.2]
K00847	3	3977.3630997678	5.80372947656164e-06	fructokinase_[EC:2.7.1.4]
K00850	4	3186.95167980842	5.81615145258383e-06	6-phosphofructokinase_1_[EC:2.7.1.11]
K00852	4	1514	5.81310855980235e-06	ribokinase_[EC:2.7.1.15]
K00854	2	1397.93109681388	5.80265181187803e-06	xylulokinase_[EC:2.7.1.17]
K00858	2	708	5.6531349459843e-06	NAD+_kinase_[EC:2.7.1.23]
K00859	2	16456.8063225663	5.79612702791994e-06	dephospho-CoA_kinase_[EC:2.7.1.24]
K00864	4	774	5.80959629115373e-06	glycerol_kinase_[EC:2.7.1.30]
K00865	4	2079.10528833799	5.8287626119851e-06	glycerate_kinase_[EC:2.7.1.31]
K00868	8	14	6.92714582196127e-07	pyridoxine_kinase_[EC:2.7.1.35]
K00873	16	125344.281968428	5.88945493094614e-06	pyruvate_kinase_[EC:2.7.1.40]
K00874	4	5780	5.83093778972472e-06	2-dehydro-3-deoxygluconokinase_[EC:2.7.1.45]
K00876	10	17118.7033677439	5.75980462742704e-06	uridine_kinase_[EC:2.7.1.48]
K00878	2	3	5.76292479959429e-06	hydroxyethylthiazole_kinase_[EC:2.7.1.50]
K00882	2	49.2060606060606	5.80298853909764e-06	1-phosphofructokinase_[EC:2.7.1.56]
K00891	4	4341	5.62736701124911e-06	shikimate_kinase_[EC:2.7.1.71]
K00901	2	27	5.72905029533254e-06	diacylglycerol_kinase_(ATP_dependent)_[EC:2.7.1.107]
K00917	2	176.933486264794	5.78934875615842e-06	tagatose_6-phosphate_kinase_[EC:2.7.1.144]
K00919	4	15209.0904761905	5.68527457033537e-06	4-diphosphocytidyl-2-C-methyl-D-erythritol_kinase_[EC:2.7.1.148]
K00925	6	3618.03109010033	5.83570165558856e-06	acetate_kinase_[EC:2.7.2.1]
K00927	4	2427.43963492403	5.79042148477988e-06	phosphoglycerate_kinase_[EC:2.7.2.3]
K00928	2	7947.50738123035	5.84436457146197e-06	aspartate_kinase_[EC:2.7.2.4]
K00929	4	246.334242751359	5.73680677861089e-06	butyrate_kinase_[EC:2.7.2.7]
K00930	2	6055.99261876962	5.77523923928549e-06	acetylglutamate_kinase_[EC:2.7.2.8]
K00939	8	16027.3926204079	5.83740492326731e-06	adenylate_kinase_[EC:2.7.4.3]
K00941	4	1440.44729486695	5.69699939042107e-06	hydroxymethylpyrimidine/phosphomethylpyrimidine_kinase_[EC:2.7.1.49_2.7.4.7]
K00942	6	15707.3031487136	5.83685976944404e-06	guanylate_kinase_[EC:2.7.4.8]
K00943	6	3731.57300402784	5.8039315832545e-06	dTMP_kinase_[EC:2.7.4.9]
K00945	12	35562.024831346	5.7929036929761e-06	cytidylate_kinase_[EC:2.7.4.14]
K00948	4	14028.7379018645	5.82828700816543e-06	ribose-phosphate_pyrophosphokinase_[EC:2.7.6.1]
K00949	5	2147	5.80871888704946e-06	thiamine_pyrophosphokinase_[EC:2.7.6.2]
K00950	2	3	5.69875254306832e-06	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine_diphosphokinase_[EC:2.7.6.3]
K00951	2	2094	5.82550288653668e-06	GTP_pyrophosphokinase_[EC:2.7.6.5]
K00954	2	16338.8063225663	5.79491785703938e-06	pantetheine-phosphate_adenylyltransferase_[EC:2.7.7.3]
K00962	5	1410.76979886156	5.83393131129274e-06	polyribonucleotide_nucleotidyltransferase_[EC:2.7.7.8]
K00963	4	1236	5.7478201392122e-06	UTP--glucose-1-phosphate_uridylyltransferase_[EC:2.7.7.9]
K00965	4	1930	5.74795229199598e-06	UDPglucose--hexose-1-phosphate_uridylyltransferase_[EC:2.7.7.12]
K00969	4	3520	5.72196950190255e-06	nicotinate-nucleotide_adenylyltransferase_[EC:2.7.7.18]
K00971	4	2	6.9041129181476e-07	mannose-1-phosphate_guanylyltransferase_[EC:2.7.7.13]
K00975	4	1967.83333333333	5.74742371731871e-06	glucose-1-phosphate_adenylyltransferase_[EC:2.7.7.27]
K00981	2	80	5.7292472342059e-06	phosphatidate_cytidylyltransferase_[EC:2.7.7.41]
K00991	4	17999.0904761905	5.75264765608371e-06	2-C-methyl-D-erythritol_4-phosphate_cytidylyltransferase_[EC:2.7.7.60]
K00995	2	18	5.66036667855344e-06	CDP-diacylglycerol--glycerol-3-phosphate_3-phosphatidyltransferase_[EC:2.7.8.5]
K00997	4	19989	5.79774004093205e-06	holo-[acyl-carrier_protein]_synthase_[EC:2.7.8.7]
K01000	6	35573.5114039979	5.75403789609358e-06	phospho-N-acetylmuramoyl-pentapeptide-transferase_[EC:2.7.8.13]
K01006	2	1497.34558242623	5.87644193193905e-06	pyruvate,orthophosphate_dikinase_[EC:2.7.9.1]
K01011	8	24101.8432616394	5.88994057049964e-06	thiosulfate/3-mercaptopyruvate_sulfurtransferase_[EC:2.8.1.1_2.8.1.2]
K01012	4	761	5.72170758641209e-06	biotin_synthase_[EC:2.8.1.6]
K01034	8	8026.2211248097	5.80763936882575e-06	acetate_CoA-transferase_alpha_subunit_[EC:2.8.3.8]
K01035	8	8026.2211248097	5.80763936882575e-06	acetate_CoA-transferase_beta_subunit_[EC:2.8.3.8]
K01042	3	701	5.76013640002995e-06	L-seryl-tRNA(Ser)_seleniumtransferase_[EC:2.9.1.1]
K01091	2	757	5.75953923686105e-06	phosphoglycolate_phosphatase_[EC:3.1.3.18]
K01126	5	1554	5.81500154097541e-06	glycerophosphoryl_diester_phosphodiesterase_[EC:3.1.4.46]
K01179	3	16	5.61107401567734e-06	endoglucanase_[EC:3.2.1.4]
K01193	9	3800	5.75278003094996e-06	beta-fructofuranosidase_[EC:3.2.1.26]
K01198	2	758	5.68533921576431e-06	xylan_1,4-beta-xylosidase_[EC:3.2.1.37]
K01222	2	1515.56666666667	5.73792596927914e-06	6-phospho-beta-glucosidase_[EC:3.2.1.86]
K01223	2	758.366666666667	5.73786012244594e-06	6-phospho-beta-glucosidase_[EC:3.2.1.86]
K01226	2	1.91666666666667	5.74894363160769e-06	trehalose-6-phosphate_hydrolase_[EC:3.2.1.93]
K01232	3	5.5	5.74907583605935e-06	maltose-6'-phosphate_glucosidase_[EC:3.2.1.122]
K01239	10	1966.82539091765	5.78412489082464e-06	purine_nucleosidase_[EC:3.2.2.1]
K01243	6	13222.9	5.76677988777846e-06	S-adenosylhomocysteine/5'-methylthioadenosine_nucleosidase_[EC:3.2.2.9]
K01255	5	1588.85810810999	5.86121807834104e-06	leucyl_aminopeptidase_[EC:3.4.11.1]
K01259	2	12	5.70818610969992e-06	proline_iminopeptidase_[EC:3.4.11.5]
K01270	5	1588.85810810999	5.86121807834104e-06	dipeptidase_D_[EC:3.4.13.-]
K01424	2	376	5.84381811700493e-06	L-asparaginase_[EC:3.5.1.1]
K01425	10	30426.0227548801	5.87602757032136e-06	glutaminase_[EC:3.5.1.2]
K01438	4	249	5.78760641961304e-06	acetylornithine_deacetylase_[EC:3.5.1.16]
K01443	4	5833	5.78586513148379e-06	N-acetylglucosamine-6-phosphate_deacetylase_[EC:3.5.1.25]
K01464	6	9	6.92714582196127e-07	dihydropyrimidinase_[EC:3.5.2.2]
K01465	2	73.7	5.78653473367474e-06	dihydroorotase_[EC:3.5.2.3]
K01480	2	2271	5.63186735825998e-06	agmatinase_[EC:3.5.3.11]
K01487	4	184.156902838405	5.78352274370319e-06	guanine_deaminase_[EC:3.5.4.3]
K01488	4	1388	5.73108598348301e-06	adenosine_deaminase_[EC:3.5.4.4]
K01489	6	4246.82578679431	5.75244910520654e-06	cytidine_deaminase_[EC:3.5.4.5]
K01493	4	7521.93703691282	5.79760558889179e-06	dCMP_deaminase_[EC:3.5.4.12]
K01495	8	2801	5.82557076029524e-06	GTP_cyclohydrolase_I_[EC:3.5.4.16]
K01501	13	4572	5.85654967232605e-06	nitrilase_[EC:3.5.5.1]
K01515	2	757	5.8129058134871e-06	ADP-ribose_pyrophosphatase_[EC:3.6.1.13]
K01520	2	757	5.78532956129846e-06	dUTP_pyrophosphatase_[EC:3.6.1.23]
K01524	2	700	5.75410411475985e-06	exopolyphosphatase_/_guanosine-5'-triphosphate,3'-diphosphate_pyrophosphatase_[EC:3.6.1.11_3.6.1.40]
K01585	2	759	5.56535676719556e-06	arginine_decarboxylase_[EC:4.1.1.19]
K01586	4	785	5.68624440615707e-06	diaminopimelate_decarboxylase_[EC:4.1.1.20]
K01588	2	760	5.68909116768596e-06	5-(carboxyamino)imidazole_ribonucleotide_mutase_[EC:5.4.99.18]
K01591	2	4634.69642567647	5.77497242450667e-06	orotidine-5'-phosphate_decarboxylase_[EC:4.1.1.23]
K01611	2	5802	5.72642573684783e-06	S-adenosylmethionine_decarboxylase_[EC:4.1.1.50]
K01619	2	5451.98285938245	5.85716712254951e-06	deoxyribose-phosphate_aldolase_[EC:4.1.2.4]
K01620	6	13489.6096316477	5.84381811700493e-06	threonine_aldolase_[EC:4.1.2.5]
K01624	13	51351.5655897714	5.86740830707668e-06	fructose-bisphosphate_aldolase,_class_II_[EC:4.1.2.13]
K01625	10	75703.1574416101	5.90384990052013e-06	2-dehydro-3-deoxyphosphogluconate_aldolase_/_4-hydroxy-2-oxoglutarate_aldolase_[EC:4.1.2.14_4.1.3.16]
K01628	2	1	6.9041129181476e-07	L-fuculose-phosphate_aldolase_[EC:4.1.2.17]
K01633	3	9	5.69881749536971e-06	dihydroneopterin_aldolase_[EC:4.1.2.25]
K01639	2	1	5.56059097960931e-06	N-acetylneuraminate_lyase_[EC:4.1.3.3]
K01640	7	6324.09523809524	5.86410522550417e-06	hydroxymethylglutaryl-CoA_lyase_[EC:4.1.3.4]
K01649	6	15331.1085887172	5.86479306077685e-06	2-isopropylmalate_synthase_[EC:2.3.3.13]
K01652	11	17358.8966245582	5.87761627394394e-06	acetolactate_synthase_I/II/III_large_subunit_[EC:2.2.1.6]
K01662	6	85737.5798303617	5.89271719082386e-06	1-deoxy-D-xylulose-5-phosphate_synthase_[EC:2.2.1.7]
K01664	2	1759.07857142857	5.76677988777846e-06	para-aminobenzoate_synthetase_component_II_[EC:2.6.1.85]
K01665	2	1759.07857142857	5.76677988777846e-06	para-aminobenzoate_synthetase_component_I_[EC:2.6.1.85]
K01677	4	2383.10085429757	5.82401006388939e-06	fumarate_hydratase_subunit_alpha_[EC:4.2.1.2]
K01678	4	2383.10085429757	5.82401006388939e-06	fumarate_hydratase_subunit_beta_[EC:4.2.1.2]
K01681	6	2900	5.79075679400541e-06	aconitate_hydratase_[EC:4.2.1.3]
K01687	5	6736.07012987013	5.79464922090941e-06	dihydroxy-acid_dehydratase_[EC:4.2.1.9]
K01689	4	4591.59208632794	5.83161786574449e-06	enolase_[EC:4.2.1.11]
K01693	4	3137.06332983666	5.78599903952416e-06	imidazoleglycerol-phosphate_dehydratase_[EC:4.2.1.19]
K01703	10	2399.566775883	5.80009396152218e-06	3-isopropylmalate/(R)-2-methylmalate_dehydratase_large_subunit_[EC:4.2.1.33_4.2.1.35]
K01704	10	2399.566775883	5.80009396152218e-06	3-isopropylmalate/(R)-2-methylmalate_dehydratase_small_subunit_[EC:4.2.1.33_4.2.1.35]
K01714	2	2627.50738123042	5.70505981755219e-06	4-hydroxy-tetrahydrodipicolinate_synthase_[EC:4.3.3.7]
K01715	5	1379.07749758413	5.79928668773741e-06	3-hydroxybutyryl-CoA_dehydratase_[EC:4.2.1.55]
K01726	20	96	6.98540608959761e-07	cyanate_lyase_[EC:4.2.1.104]
K01733	6	2901	5.82455281995725e-06	threonine_synthase_[EC:4.2.3.1]
K01734	2	698	5.81513680109325e-06	methylglyoxal_synthase_[EC:4.2.3.3]
K01735	2	700	5.77797551293978e-06	3-dehydroquinate_synthase_[EC:4.2.3.4]
K01736	4	10073	5.76478523292615e-06	chorismate_synthase_[EC:4.2.3.5]
K01738	4	1393.98749457787	5.86183651337964e-06	cysteine_synthase_A_[EC:2.5.1.47]
K01740	4	1195.285705471	5.85771607650177e-06	O-acetylhomoserine_(thiol)-lyase_[EC:2.5.1.49]
K01749	2	1	6.9041129181476e-07	hydroxymethylbilane_synthase_[EC:2.5.1.61]
K01750	2	8688	5.77770844527643e-06	ornithine_cyclodeaminase_[EC:4.3.1.12]
K01752	6	19324.2271768426	5.89188392988658e-06	L-serine_dehydratase_[EC:4.3.1.17]
K01754	7	24149.9859913568	5.89473187812052e-06	threonine_dehydratase_[EC:4.3.1.19]
K01756	7	13095.644563671	5.83012190784909e-06	adenylosuccinate_lyase_[EC:4.3.2.2]
K01759	2	1	5.74399035009621e-06	lactoylglutathione_lyase_[EC:4.4.1.5]
K01761	4	1104.54282562399	5.80191114953266e-06	methionine-gamma-lyase_[EC:4.4.1.11]
K01770	4	12437.5166666667	5.62255770149841e-06	2-C-methyl-D-erythritol_2,4-cyclodiphosphate_synthase_[EC:4.6.1.12]
K01775	2	5171.94415104806	5.7839241611864e-06	alanine_racemase_[EC:5.1.1.1]
K01776	2	1112.17261317731	5.84846623972863e-06	glutamate_racemase_[EC:5.1.1.3]
K01777	2	2928	5.70838161672784e-06	proline_racemase_[EC:5.1.1.4]
K01778	4	2295	5.6861150755969e-06	diaminopimelate_epimerase_[EC:5.1.1.7]
K01779	2	698	5.8436815193572e-06	aspartate_racemase_[EC:5.1.1.13]
K01783	4	3200.86581380225	5.80858392532484e-06	ribulose-phosphate_3-epimerase_[EC:5.1.3.1]
K01784	4	787	5.67881744305566e-06	UDP-glucose_4-epimerase_[EC:5.1.3.2]
K01788	2	757	5.71974398425926e-06	N-acylglucosamine-6-phosphate_2-epimerase_[EC:5.1.3.9]
K01791	5	780	5.62724034506238e-06	UDP-N-acetylglucosamine_2-epimerase_[EC:5.1.3.14]
K01803	4	3516.81169753695	5.85689268415535e-06	triosephosphate_isomerase_(TIM)_[EC:5.3.1.1]
K01805	4	9306.32169254349	5.75503133614563e-06	xylose_isomerase_[EC:5.3.1.5]
K01808	4	3204.22512601367	5.81919753266025e-06	ribose_5-phosphate_isomerase_B_[EC:5.3.1.6]
K01809	2	4542	5.80265181187803e-06	mannose-6-phosphate_isomerase_[EC:5.3.1.8]
K01810	6	26382.6632887483	5.80649282027163e-06	glucose-6-phosphate_isomerase_[EC:5.3.1.9]
K01814	2	4596.18383557618	5.75125808770669e-06	phosphoribosylformimino-5-aminoimidazole_carboxamide_ribotide_isomerase_[EC:5.3.1.16]
K01835	5	10890.8766359527	5.81743718622198e-06	phosphoglucomutase_[EC:5.4.2.2]
K01838	2	939.003025822316	5.73693842543988e-06	beta-phosphoglucomutase_[EC:5.4.2.6]
K01839	4	12262.1004684036	5.82150113228197e-06	phosphopentomutase_[EC:5.4.2.7]
K01843	2	7	5.61832472793263e-06	lysine_2,3-aminomutase_[EC:5.4.3.2]
K01866	2	698	5.83250220176958e-06	tyrosyl-tRNA_synthetase_[EC:6.1.1.1]
K01867	2	1	6.9041129181476e-07	tryptophanyl-tRNA_synthetase_[EC:6.1.1.2]
K01868	2	698	5.82441712145657e-06	threonyl-tRNA_synthetase_[EC:6.1.1.3]
