K00001	alcohol_dehydrogenase_[EC:1.1.1.1]
K00069	15-hydroxyprostaglandin_dehydrogenase_(NAD)_[EC:1.1.1.141]
K00070	3beta-hydroxy-delta5-steroid_dehydrogenase_/_steroid_delta-isomerase_[EC:1.1.1.145_5.3.3.1]
K00071	corticosteroid_11-beta-dehydrogenase_isozyme_2_[EC:1.1.1.-]
K00072	sepiapterin_reductase_[EC:1.1.1.153]
K00073	ureidoglycolate_dehydrogenase_(NAD+)_[EC:1.1.1.350]
K00074	3-hydroxybutyryl-CoA_dehydrogenase_[EC:1.1.1.157]
K00075	UDP-N-acetylmuramate_dehydrogenase_[EC:1.3.1.98]
K00076	7-alpha-hydroxysteroid_dehydrogenase_[EC:1.1.1.159]
K00077	2-dehydropantoate_2-reductase_[EC:1.1.1.169]
K00078	dihydrodiol_dehydrogenase_/_D-xylose_1-dehydrogenase_(NADP)_[EC:1.3.1.20_1.1.1.179]
K00079	carbonyl_reductase_1_[EC:1.1.1.184_1.1.1.189_1.1.1.197]
K00081	carbonyl_reductase_2_[EC:1.1.1.184]
K00082	5-amino-6-(5-phosphoribosylamino)uracil_reductase_[EC:1.1.1.193]
K00083	cinnamyl-alcohol_dehydrogenase_[EC:1.1.1.195]
K00084	carbonyl_reductase_3_[EC:1.1.1.184]
K00085	aldose-6-phosphate_reductase_(NADPH2)_[EC:1.1.1.200]
K00086	1,3-propanediol_dehydrogenase_[EC:1.1.1.202]
K00087	xanthine_dehydrogenase_molybdenum-binding_subunit_[EC:1.17.1.4]
K00088	IMP_dehydrogenase_[EC:1.1.1.205]
K00089	3alpha-hydroxysteroid_dehydrogenase_(A-specific)_[EC:1.1.1.213]
K00090	gluconate_2-dehydrogenase_[EC:1.1.1.215]
K00091	dihydroflavonol-4-reductase_[EC:1.1.1.219]
K00092	chlordecone_reductase_[EC:1.1.1.225]
K00093	methanol_dehydrogenase_[EC:1.1.1.244]
K00094	galactitol-1-phosphate_5-dehydrogenase_[EC:1.1.1.251]
K00095	mannitol_dehydrogenase_[EC:1.1.1.255]
K00096	glycerol-1-phosphate_dehydrogenase_[NAD(P)+]_[EC:1.1.1.261]
K00097	4-hydroxythreonine-4-phosphate_dehydrogenase_[EC:1.1.1.262]
K00098	L-idonate_5-dehydrogenase_[EC:1.1.1.264]
K00099	1-deoxy-D-xylulose-5-phosphate_reductoisomerase_[EC:1.1.1.267]
K00100	1-deoxy-D-xylulose-5-phosphate_reductoisomerase_[EC:1.1.1.267]
K00101	L-lactate_dehydrogenase_(cytochrome)_[EC:1.1.2.3]
K00102	D-lactate_dehydrogenase_(cytochrome)_[EC:1.1.2.4]
K00103	L-gulonolactone_oxidase_[EC:1.1.3.8]
K00104	glycolate_oxidase_[EC:1.1.3.15]
K00105	alpha-glycerophosphate_oxidase_[EC:1.1.3.21]
K00106	xanthine_dehydrogenase/oxidase_[EC:1.17.1.4_1.17.3.2]
K00107	D-arabinono-1,4-lactone_oxidase_[EC:1.1.3.37]
K00108	choline_dehydrogenase_[EC:1.1.99.1]
K00109	2-hydroxyglutarate_dehydrogenase_[EC:1.1.99.2]
K00111	glycerol-3-phosphate_dehydrogenase_[EC:1.1.5.3]
K00112	glycerol-3-phosphate_dehydrogenase_subunit_B_[EC:1.1.5.3]
K00113	glycerol-3-phosphate_dehydrogenase_subunit_C_[EC:1.1.5.3]
K00114	alcohol_dehydrogenase_(cytochrome_c)_[EC:1.1.2.8]
K00115	glucose_dehydrogenase_(acceptor)_[EC:1.1.5.9]
K00116	malate_dehydrogenase_(quinone)_[EC:1.1.5.4]
K00117	quinoprotein_glucose_dehydrogenase_[EC:1.1.5.2]
K00118	glucose-fructose_oxidoreductase_[EC:1.1.99.28]
K00119	glucose-fructose_oxidoreductase_[EC:1.1.99.28]
K00121	S-(hydroxymethyl)glutathione_dehydrogenase_/_alcohol_dehydrogenase_[EC:1.1.1.284_1.1.1.1]
K00122	formate_dehydrogenase_[EC:1.2.1.2]
K00123	formate_dehydrogenase,_alpha_subunit_[EC:1.2.1.2]
K00124	formate_dehydrogenase,_beta_subunit
K00125	formate_dehydrogenase,_beta_subunit_[EC:1.2.1.2]
K00126	formate_dehydrogenase,_delta_subunit_[EC:1.2.1.2]
K00127	formate_dehydrogenase,_gamma_subunit
K00128	aldehyde_dehydrogenase_(NAD+)_[EC:1.2.1.3]
K00129	aldehyde_dehydrogenase_(NAD(P)+)_[EC:1.2.1.5]
K00130	betaine-aldehyde_dehydrogenase_[EC:1.2.1.8]
K00131	glyceraldehyde-3-phosphate_dehydrogenase_(NADP)_[EC:1.2.1.9]
K00132	acetaldehyde_dehydrogenase_(acetylating)_[EC:1.2.1.10]
K00133	aspartate-semialdehyde_dehydrogenase_[EC:1.2.1.11]
K00134	glyceraldehyde_3-phosphate_dehydrogenase_[EC:1.2.1.12]
K00135	succinate-semialdehyde_dehydrogenase_(NADP+)_[EC:1.2.1.16]
K00137	aminobutyraldehyde_dehydrogenase_[EC:1.2.1.19]
K00138	aldehyde_dehydrogenase_[EC:1.2.1.-]
K00139	succinate-semialdehyde_dehydrogenase_[EC:1.2.1.24]
K00140	malonate-semialdehyde_dehydrogenase_(acetylating)_/_methylmalonate-semialdehyde_dehydrogenase_[EC:1.2.1.18_1.2.1.27]
K00141	benzaldehyde_dehydrogenase_(NAD)_[EC:1.2.1.28]
K00142	acyl-CoA_synthetase_[EC:6.2.1.-]
K00143	L-aminoadipate-semialdehyde_dehydrogenase_[EC:1.2.1.31]
K00145	N-acetyl-gamma-glutamyl-phosphate_reductase_[EC:1.2.1.38]
K00146	phenylacetaldehyde_dehydrogenase_[EC:1.2.1.39]
K00147	glutamate-5-semialdehyde_dehydrogenase_[EC:1.2.1.41]
K00148	glutathione-independent_formaldehyde_dehydrogenase_[EC:1.2.1.46]
K00149	aldehyde_dehydrogenase_family_9_member_A1_[EC:1.2.1.47_1.2.1.3]
K00150	glyceraldehyde-3-phosphate_dehydrogenase_(NAD(P))_[EC:1.2.1.59]
K00151	5-carboxymethyl-2-hydroxymuconic-semialdehyde_dehydrogenase_[EC:1.2.1.60]
K00152	salicylaldehyde_dehydrogenase_[EC:1.2.1.65]
K00153	S-(hydroxymethyl)mycothiol_dehydrogenase_[EC:1.1.1.306]
K00154	coniferyl-aldehyde_dehydrogenase_[EC:1.2.1.68]
K00155	coniferyl-aldehyde_dehydrogenase_[EC:1.2.1.68]
K00156	pyruvate_dehydrogenase_(quinone)_[EC:1.2.5.1]
K00157	aldehyde_oxidase_[EC:1.2.3.1]
K00158	pyruvate_oxidase_[EC:1.2.3.3]
K00161	pyruvate_dehydrogenase_E1_component_subunit_alpha_[EC:1.2.4.1]
K00162	pyruvate_dehydrogenase_E1_component_subunit_beta_[EC:1.2.4.1]
K00163	pyruvate_dehydrogenase_E1_component_[EC:1.2.4.1]
K00164	2-oxoglutarate_dehydrogenase_E1_component_[EC:1.2.4.2]
K00166	2-oxoisovalerate_dehydrogenase_E1_component,_alpha_subunit_[EC:1.2.4.4]
K00167	2-oxoisovalerate_dehydrogenase_E1_component,_beta_subunit_[EC:1.2.4.4]
K00169	pyruvate_ferredoxin_oxidoreductase,_alpha_subunit_[EC:1.2.7.1]
K00170	pyruvate_ferredoxin_oxidoreductase,_beta_subunit_[EC:1.2.7.1]
K00171	pyruvate_ferredoxin_oxidoreductase,_delta_subunit_[EC:1.2.7.1]
K00172	pyruvate_ferredoxin_oxidoreductase,_gamma_subunit_[EC:1.2.7.1]
K00174	2-oxoglutarate_ferredoxin_oxidoreductase_subunit_alpha_[EC:1.2.7.3]
K00175	2-oxoglutarate_ferredoxin_oxidoreductase_subunit_beta_[EC:1.2.7.3]
K00176	2-oxoglutarate_ferredoxin_oxidoreductase_subunit_delta_[EC:1.2.7.3]
K00177	2-oxoglutarate_ferredoxin_oxidoreductase_subunit_gamma_[EC:1.2.7.3]
K00178	oxidoreductase_containing_iron-sulfur_protein_[EC:1.2.7.-]
K00179	indolepyruvate_ferredoxin_oxidoreductase,_alpha_subunit_[EC:1.2.7.8]
K00180	indolepyruvate_ferredoxin_oxidoreductase,_beta_subunit_[EC:1.2.7.8]
K00181	porcupine
K00182	wingless-type_MMTV_integration_site_family,_member_2
K00183	prokaryotic_molybdopterin-containing_oxidoreductase_family,_molybdopterin_binding_subunit
K00184	prokaryotic_molybdopterin-containing_oxidoreductase_family,_iron-sulfur_binding_subunit
K00185	prokaryotic_molybdopterin-containing_oxidoreductase_family,_membrane_subunit
K00186	2-oxoisovalerate_ferredoxin_oxidoreductase,_alpha_subunit_[EC:1.2.7.7]
K00187	2-oxoisovalerate_ferredoxin_oxidoreductase,_beta_subunit_[EC:1.2.7.7]
K00188	2-oxoisovalerate_ferredoxin_oxidoreductase,_delta_subunit_[EC:1.2.7.7]
K00189	2-oxoisovalerate_ferredoxin_oxidoreductase,_gamma_subunit_[EC:1.2.7.7]
K00192	acetyl-CoA_decarbonylase/synthase_complex_subunit_alpha_[EC:1.2.7.4]
K00193	acetyl-CoA_decarbonylase/synthase_complex_subunit_beta_[EC:2.3.1.-]
K00194	acetyl-CoA_decarbonylase/synthase_complex_subunit_delta_[EC:2.1.1.245]
K00195	acetyl-CoA_decarbonylase/synthase_complex_subunit_epsilon
K00196	carbon-monoxide_dehydrogenase_iron_sulfur_subunit
K00197	acetyl-CoA_decarbonylase/synthase_complex_subunit_gamma_[EC:2.1.1.245]
K00198	carbon-monoxide_dehydrogenase_catalytic_subunit_[EC:1.2.99.2_1.2.7.4]
K00200	formylmethanofuran_dehydrogenase_subunit_A_[EC:1.2.99.5]
K00201	formylmethanofuran_dehydrogenase_subunit_B_[EC:1.2.99.5]
K00202	formylmethanofuran_dehydrogenase_subunit_C_[EC:1.2.99.5]
K00203	formylmethanofuran_dehydrogenase_subunit_D_[EC:1.2.99.5]
K00204	4Fe-4S_ferredoxin
K00205	4Fe-4S_ferredoxin
K00206	4Fe-4S_ferredoxin
K00207	dihydropyrimidine_dehydrogenase_(NADP+)_[EC:1.3.1.2]
K00208	enoyl-[acyl-carrier_protein]_reductase_I_[EC:1.3.1.9_1.3.1.10]
K00209	enoyl-[acyl-carrier_protein]_reductase_[EC:1.3.1.-]
K00210	prephenate_dehydrogenase_[EC:1.3.1.12]
K00211	prephenate_dehydrogenase_(NADP+)_[EC:1.3.1.13]
K00212	trans-1,2-dihydrobenzene-1,2-diol_dehydrogenase_[EC:1.3.1.20]
K00213	7-dehydrocholesterol_reductase_[EC:1.3.1.21]
K00214	biliverdin_reductase_[EC:1.3.1.24]
K00215	4-hydroxy-tetrahydrodipicolinate_reductase_[EC:1.17.1.8]
K00216	2,3-dihydro-2,3-dihydroxybenzoate_dehydrogenase_[EC:1.3.1.28]
K00217	maleylacetate_reductase_[EC:1.3.1.32]
K00218	protochlorophyllide_reductase_[EC:1.3.1.33]
K00219	2,4-dienoyl-CoA_reductase_(NADPH2)_[EC:1.3.1.34]
K00220	cyclohexadieny/prephenate_dehydrogenase_[EC:1.3.1.43_1.3.1.12]
K00221	alkylmercury_lyase_[EC:4.99.1.2]
K00222	delta14-sterol_reductase_[EC:1.3.1.70]
K00223	delta24(24(1))-sterol_reductase_[EC:1.3.1.71]
K00224	delta24(24(1))-sterol_reductase_[EC:1.3.1.71]
K00225	L-galactono-1,4-lactone_dehydrogenase_[EC:1.3.2.3]
K00226	dihydroorotate_dehydrogenase_(fumarate)_[EC:1.3.98.1]
K00227	lathosterol_oxidase_[EC:1.14.21.6]
K00228	coproporphyrinogen_III_oxidase_[EC:1.3.3.3]
K00230	menaquinone-dependent_protoporphyrinogen_oxidase_[EC:1.3.5.3]
K00231	oxygen-dependent_protoporphyrinogen_oxidase_[EC:1.3.3.4]
K00232	acyl-CoA_oxidase_[EC:1.3.3.6]
K00234	succinate_dehydrogenase_(ubiquinone)_flavoprotein_subunit_[EC:1.3.5.1]
K00235	succinate_dehydrogenase_(ubiquinone)_iron-sulfur_subunit_[EC:1.3.5.1]
K00236	succinate_dehydrogenase_(ubiquinone)_cytochrome_b560_subunit
K00237	succinate_dehydrogenase_(ubiquinone)_membrane_anchor_subunit
K00239	succinate_dehydrogenase_flavoprotein_subunit_[EC:1.3.99.1]
K00240	succinate_dehydrogenase_iron-sulfur_subunit_[EC:1.3.99.1]
K00241	succinate_dehydrogenase_cytochrome_b556_subunit
K00242	succinate_dehydrogenase_membrane_anchor_subunit
K00243	hypothetical_protein
K00244	fumarate_reductase_flavoprotein_subunit_[EC:1.3.99.1]
K00245	fumarate_reductase_iron-sulfur_subunit_[EC:1.3.99.1]
K00246	fumarate_reductase_subunit_C
K00247	fumarate_reductase_subunit_D
K00248	butyryl-CoA_dehydrogenase_[EC:1.3.8.1]
K00249	acyl-CoA_dehydrogenase_[EC:1.3.8.7]
K00251	3-oxo-5-beta-steroid_4-dehydrogenase_[EC:1.3.1.3]
K00252	glutaryl-CoA_dehydrogenase_[EC:1.3.8.6]
K00253	isovaleryl-CoA_dehydrogenase_[EC:1.3.8.4]
K00254	dihydroorotate_dehydrogenase_[EC:1.3.5.2]
K00255	long-chain-acyl-CoA_dehydrogenase_[EC:1.3.8.8]
K00256	isoquinoline_1-oxidoreductase_[EC:1.3.99.16]
K00257	isoquinoline_1-oxidoreductase_[EC:1.3.99.16]
K00258	isoquinoline_1-oxidoreductase_[EC:1.3.99.16]
K00259	alanine_dehydrogenase_[EC:1.4.1.1]
K00260	glutamate_dehydrogenase_[EC:1.4.1.2]
K00261	glutamate_dehydrogenase_(NAD(P)+)_[EC:1.4.1.3]
K00262	glutamate_dehydrogenase_(NADP+)_[EC:1.4.1.4]
K00263	leucine_dehydrogenase_[EC:1.4.1.9]
K00264	glutamate_synthase_(NADPH/NADH)_[EC:1.4.1.13_1.4.1.14]
K00265	glutamate_synthase_(NADPH/NADH)_large_chain_[EC:1.4.1.13_1.4.1.14]
K00266	glutamate_synthase_(NADPH/NADH)_small_chain_[EC:1.4.1.13_1.4.1.14]
K00270	phenylalanine_dehydrogenase_[EC:1.4.1.20]
K00271	valine_dehydrogenase_(NAD+)_[EC:1.4.1.23]
K00272	D-aspartate_oxidase_[EC:1.4.3.1]
K00273	D-amino-acid_oxidase_[EC:1.4.3.3]
K00274	monoamine_oxidase_[EC:1.4.3.4]
K00275	pyridoxamine_5'-phosphate_oxidase_[EC:1.4.3.5]
K00276	primary-amine_oxidase_[EC:1.4.3.21]
K00277	protein-lysine_6-oxidase_[EC:1.4.3.13]
K00278	L-aspartate_oxidase_[EC:1.4.3.16]
K00279	cytokinin_dehydrogenase_[EC:1.5.99.12]
K00280	lysyl_oxidase-like_protein_2/3/4_[EC:1.4.3.-]
K00281	glycine_dehydrogenase_[EC:1.4.4.2]
K00282	glycine_dehydrogenase_subunit_1_[EC:1.4.4.2]
K00283	glycine_dehydrogenase_subunit_2_[EC:1.4.4.2]
K00284	glutamate_synthase_(ferredoxin)_[EC:1.4.7.1]
K00285	D-amino-acid_dehydrogenase_[EC:1.4.99.1]
K00286	pyrroline-5-carboxylate_reductase_[EC:1.5.1.2]
K00287	dihydrofolate_reductase_[EC:1.5.1.3]
K00288	methylenetetrahydrofolate_dehydrogenase_(NADP+)_/_methenyltetrahydrofolate_cyclohydrolase_/_formyltetrahydrofolate_synthetase_[EC:1.5.1.5_3.5.4.9_6.3.4.3]
K00289	formyltetrahydrofolate_dehydrogenase_[EC:1.5.1.6]
K00290	saccharopine_dehydrogenase_(NAD+,_L-lysine_forming)_[EC:1.5.1.7]
K00291	saccharopine_dehydrogenase_(NADP+,_L-lysine_forming)_[EC:1.5.1.8]
K00292	saccharopine_dehydrogenase_(NAD+,_L-glutamate_forming)_[EC:1.5.1.9]
K00293	saccharopine_dehydrogenase_(NADP+,_L-glutamate_forming)_[EC:1.5.1.10]
K00294	1-pyrroline-5-carboxylate_dehydrogenase_[EC:1.2.1.88]
K00295	methylenetetrahydrofolate_dehydrogenase_(NAD+)_[EC:1.5.1.15]
K00296	D-nopaline_dehydrogenase_[EC:1.5.1.19]
K00297	methylenetetrahydrofolate_reductase_(NADPH)_[EC:1.5.1.20]
K00298	N5-(carboxyethyl)ornithine_synthase_[EC:1.5.1.24]
K00299	FMN_reductase_[EC:1.5.1.38]
K00300	FMN_reductase_[EC:1.5.1.38]
K00301	sarcosine_oxidase_[EC:1.5.3.1]
K00302	sarcosine_oxidase,_subunit_alpha_[EC:1.5.3.1]
K00303	sarcosine_oxidase,_subunit_beta_[EC:1.5.3.1]
K00304	sarcosine_oxidase,_subunit_delta_[EC:1.5.3.1]
K00305	sarcosine_oxidase,_subunit_gamma_[EC:1.5.3.1]
K00306	sarcosine_oxidase_/_L-pipecolate_oxidase_[EC:1.5.3.1_1.5.3.7]
K00307	reticuline_oxidase_[EC:1.21.3.3]
K00308	N1-acetylpolyamine_oxidase_[EC:1.5.3.13]
K00309	N1-acetylpolyamine_oxidase_[EC:1.5.3.13]
K00310	pyrimidodiazepine_synthase_[EC:1.5.4.1]
K00311	electron-transferring-flavoprotein_dehydrogenase_[EC:1.5.5.1]
K00312	wingless-type_MMTV_integration_site_family,_member_3
K00313	electron_transfer_flavoprotein-quinone_oxidoreductase_[EC:1.5.5.-]
K00314	sarcosine_dehydrogenase_[EC:1.5.8.3]
K00315	dimethylglycine_dehydrogenase_[EC:1.5.8.4]
K00316	spermidine_dehydrogenase_[EC:1.5.99.6]
K00317	trimethylamine_dehydrogenase_[EC:1.5.8.2]
K00318	proline_dehydrogenase_[EC:1.5.99.8]
K00319	methylenetetrahydromethanopterin_dehydrogenase_[EC:1.5.99.9]
K00320	coenzyme_F420-dependent_N5,N10-methenyltetrahydromethanopterin_reductase_[EC:1.5.99.11]
K00321	coenzyme_F420-dependent_N5,N10-methenyltetrahydromethanopterin_reductase_[EC:1.5.99.11]
K00322	NAD(P)_transhydrogenase_[EC:1.6.1.1]
K00323	NAD(P)_transhydrogenase_[EC:1.6.1.2]
K00324	NAD(P)_transhydrogenase_subunit_alpha_[EC:1.6.1.2]
K00325	NAD(P)_transhydrogenase_subunit_beta_[EC:1.6.1.2]
K00326	cytochrome-b5_reductase_[EC:1.6.2.2]
K00327	NADPH-ferrihemoprotein_reductase_[EC:1.6.2.4]
K00328	inositol-polyphosphate_multikinase_[EC:2.7.1.151]
K00329	NADH_dehydrogenase_[EC:1.6.5.3]
K00330	NADH-quinone_oxidoreductase_subunit_A_[EC:1.6.5.3]
K00331	NADH-quinone_oxidoreductase_subunit_B_[EC:1.6.5.3]
K00332	NADH-quinone_oxidoreductase_subunit_C_[EC:1.6.5.3]
K00333	NADH-quinone_oxidoreductase_subunit_D_[EC:1.6.5.3]
K00334	NADH-quinone_oxidoreductase_subunit_E_[EC:1.6.5.3]
K00335	NADH-quinone_oxidoreductase_subunit_F_[EC:1.6.5.3]
K00336	NADH-quinone_oxidoreductase_subunit_G_[EC:1.6.5.3]
K00337	NADH-quinone_oxidoreductase_subunit_H_[EC:1.6.5.3]
K00338	NADH-quinone_oxidoreductase_subunit_I_[EC:1.6.5.3]
K00339	NADH-quinone_oxidoreductase_subunit_J_[EC:1.6.5.3]
K00340	NADH-quinone_oxidoreductase_subunit_K_[EC:1.6.5.3]
K00341	NADH-quinone_oxidoreductase_subunit_L_[EC:1.6.5.3]
K00342	NADH-quinone_oxidoreductase_subunit_M_[EC:1.6.5.3]
K00343	NADH-quinone_oxidoreductase_subunit_N_[EC:1.6.5.3]
K00344	NADPH2:quinone_reductase_[EC:1.6.5.5]
K00346	Na+-transporting_NADH:ubiquinone_oxidoreductase_subunit_A_[EC:1.6.5.-]
K00347	Na+-transporting_NADH:ubiquinone_oxidoreductase_subunit_B_[EC:1.6.5.-]
K00348	Na+-transporting_NADH:ubiquinone_oxidoreductase_subunit_C_[EC:1.6.5.-]
K00349	Na+-transporting_NADH:ubiquinone_oxidoreductase_subunit_D_[EC:1.6.5.-]
K00350	Na+-transporting_NADH:ubiquinone_oxidoreductase_subunit_E_[EC:1.6.5.-]
K00351	Na+-transporting_NADH:ubiquinone_oxidoreductase_subunit_F_[EC:1.6.5.-]
K00353	Na+-transporting_NADH:ubiquinone_oxidoreductase_subunit_F_[EC:1.6.5.-]
K00354	NADPH2_dehydrogenase_[EC:1.6.99.1]
K00355	NAD(P)H_dehydrogenase_(quinone)_[EC:1.6.5.2]
K00356	NADH_dehydrogenase_[EC:1.6.99.3]
K00357	dihydropteridine_reductase_[EC:1.5.1.34]
K00358	dihydropteridine_reductase_[EC:1.5.1.34]
K00359	NADH_oxidase_[EC:1.6.-.-]
K00360	assimilatory_nitrate_reductase_electron_transfer_subunit_[EC:1.7.99.4]
K00362	nitrite_reductase_(NAD(P)H)_large_subunit_[EC:1.7.1.4]
K00363	nitrite_reductase_(NAD(P)H)_small_subunit_[EC:1.7.1.4]
K00364	GMP_reductase_[EC:1.7.1.7]
K00365	urate_oxidase_[EC:1.7.3.3]
K00366	ferredoxin-nitrite_reductase_[EC:1.7.7.1]
K00367	ferredoxin-nitrate_reductase_[EC:1.7.7.2]
K00368	nitrite_reductase_(NO-forming)_[EC:1.7.2.1]
K00369	nitrate_reductase-like_protein
K00370	nitrate_reductase_alpha_subunit_[EC:1.7.99.4]
K00371	nitrate_reductase_beta_subunit_[EC:1.7.99.4]
K00372	assimilatory_nitrate_reductase_catalytic_subunit_[EC:1.7.99.4]
K00373	nitrate_reductase_delta_subunit
K00374	nitrate_reductase_gamma_subunit_[EC:1.7.99.4]
K00375	GntR_family_transcriptional_regulator_/_MocR_family_aminotransferase
K00376	nitrous-oxide_reductase_[EC:1.7.2.4]
K00380	sulfite_reductase_(NADPH)_flavoprotein_alpha-component_[EC:1.8.1.2]
K00381	sulfite_reductase_(NADPH)_hemoprotein_beta-component_[EC:1.8.1.2]
K00382	dihydrolipoamide_dehydrogenase_[EC:1.8.1.4]
K00383	glutathione_reductase_(NADPH)_[EC:1.8.1.7]
K00384	thioredoxin_reductase_(NADPH)_[EC:1.8.1.9]
K00385	anaerobic_sulfite_reductase_subunit_C
K00386	anaerobic_sulfite_reductase_subunit_C
K00387	sulfite_oxidase_[EC:1.8.3.1]
K00389	putative_membrane_protein
K00390	phosphoadenosine_phosphosulfate_reductase_[EC:1.8.4.8]
K00391	phosphoadenosine_phosphosulfate_reductase_[EC:1.8.4.8]
K00392	sulfite_reductase_(ferredoxin)_[EC:1.8.7.1]
K00394	adenylylsulfate_reductase,_subunit_A_[EC:1.8.99.2]
K00395	adenylylsulfate_reductase,_subunit_B_[EC:1.8.99.2]
K00397	anaerobic_dimethyl_sulfoxide_reductase_[EC:1.8.99.-]
K00399	methyl-coenzyme_M_reductase_alpha_subunit_[EC:2.8.4.1]
K00400	methyl_coenzyme_M_reductase_system,_component_A2
K00401	methyl-coenzyme_M_reductase_beta_subunit_[EC:2.8.4.1]
K00402	methyl-coenzyme_M_reductase_gamma_subunit_[EC:2.8.4.1]
K00404	cytochrome_c_oxidase_cbb3-type_subunit_I_[EC:1.9.3.1]
K00405	cytochrome_c_oxidase_cbb3-type_subunit_II
K00406	cytochrome_c_oxidase_cbb3-type_subunit_III
K00407	cytochrome_c_oxidase_cbb3-type_subunit_IV
K00408	wingless-type_MMTV_integration_site_family,_member_4
