KO	cefoperazone-pretreated	clindamycin-pretreated	streptomycin-pretreated	ex-germfree	gene_name	CD630_genes	pathways	enzymatic_reactions	chemical_formulas
K00052	0	0	1	0	3-isopropylmalate_dehydrogenase_[EC:1.1.1.85]	cdf:CD630_09920	Valine,_leucine_and_isoleucine_biosynthesis,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,2-Oxocarboxylic_acid_metabolism,Biosynthesis_of_amino_acids	R00994,R04426,R10052	C06032=>C00109,C00109<=>C06032,C04411<=>C04236,C04411=>C04236,C04411=>C00233
K00053	0	2	3	0	ketol-acid_reductoisomerase_[EC:1.1.1.86]	cdf:CD630_15650	Valine,_leucine_and_isoleucine_biosynthesis,Pantothenate_and_CoA_biosynthesis,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,2-Oxocarboxylic_acid_metabolism,Biosynthesis_of_amino_acids	R03051,R04440,R05068,R05069,R05071	C00900=>C04039,C04272<=>C04181,C04181=>C04272,C06007<=>C14463,C14463=>C06007,C06006<=>C14463,C06006=>C14463,C06010<=>C04181,C06010=>C04181
K00057	11	9	17	3	glycerol-3-phosphate_dehydrogenase_(NAD(P)+)_[EC:1.1.1.94]	cdf:CD630_26300	Glycerophospholipid_metabolism	R00842,R00844	C00093<=>C00111,C00093<=>C00111
K00058	2	1	3	0	D-3-phosphoglycerate_dehydrogenase_[EC:1.1.1.95]	cdf:CD630_09950	Glycine,_serine_and_threonine_metabolism,Methane_metabolism,Metabolic_pathways,Microbial_metabolism_in_diverse_environments,Carbon_metabolism,Biosynthesis_of_amino_acids	R01513	C00197<=>C03232,C00197=>C03232
K00059	31	16	7	1	3-oxoacyl-[acyl-carrier_protein]_reductase_[EC:1.1.1.100]	cdf:CD630_11820,cdf:CD630_25770	Fatty_acid_biosynthesis,Biotin_metabolism,Biosynthesis_of_unsaturated_fatty_acids,Metabolic_pathways,Fatty_acid_metabolism	R04533,R04534,R04536,R04543,R04566,R04953,R04964,R07759,R07763,R10116,R10120	C04618<=>C05744,C05744=>C04618,C05753<=>C04619,C04619<=>C05753,C05753=>C04619,C05750<=>C04620,C04620<=>C05750,C05750=>C04620,C05762<=>C04633,C04633<=>C05762,C05762=>C04633,C05759<=>C04688,C05759=>C04688,C05746<=>C05747,C05746=>C05747,C05756<=>C05757,C05756=>C05757,C16216=>C16217,C16219<=>C16220,C16219=>C16220,C20372=>C20373,C20372<=>C20373,C20376=>C20377,C20376<=>C20377
K00068	2	0	24	0	sorbitol-6-phosphate_2-dehydrogenase_[EC:1.1.1.140]	cdf:CD630_07680	Fructose_and_mannose_metabolism	R05607	C01096<=>C05345
K00074	119	124	293	6	3-hydroxybutyryl-CoA_dehydrogenase_[EC:1.1.1.157]	cdf:CD630_10580	Phenylalanine_metabolism,Benzoate_degradation,Butanoate_metabolism,Metabolic_pathways,Microbial_metabolism_in_diverse_environments	R01976,R06941	C01144=>C00332,C01144<=>C00332,C00332<=>C01144,C14145=>C02232,C14145<=>C02232
K00075	6	9	5	0	UDP-N-acetylmuramate_dehydrogenase_[EC:1.3.1.98]	cdf:CD630_34020	Amino_sugar_and_nucleotide_sugar_metabolism,Peptidoglycan_biosynthesis,Metabolic_pathways	R03191,R03192	C04631=>C01050,C04631<=>C01050,C04631=>C01050,C04631<=>C01050
K00077	1	2	5	0	2-dehydropantoate_2-reductase_[EC:1.1.1.169]	cdf:CD630_01880	Pantothenate_and_CoA_biosynthesis,Metabolic_pathways,Biosynthesis_of_secondary_metabolites	R02472	C00522<=>C00966,C00966<=>C00522
K00086	4	2	6	0	1,3-propanediol_dehydrogenase_[EC:1.1.1.202]	cdf:CD630_02740	Glycerolipid_metabolism	R02377,R03119	C00479=>C05979,C00969=>C02457
K00088	36	20	19	5	IMP_dehydrogenase_[EC:1.1.1.205]	cdf:CD630_23350	Purine_metabolism,Drug_metabolism_-_other_enzymes,Metabolic_pathways,Biosynthesis_of_secondary_metabolites	R01130,R08240	C00130=>C00655,C00130<=>C00655,C04646=>C16618
K00099	7	7	8	3	1-deoxy-D-xylulose-5-phosphate_reductoisomerase_[EC:1.1.1.267]	cdf:CD630_21300	Terpenoid_backbone_biosynthesis,Metabolic_pathways,Biosynthesis_of_secondary_metabolites	R05688	C11437=>C11434,C11434<=>C11437
K00104	92	118	64	0	glycolate_oxidase_[EC:1.1.3.15]	cdf:CD630_11730	Glyoxylate_and_dicarboxylate_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments	R00475	C00160=>C00048,C00048<=>C00160,C00160+C00007<=>C00048+C00027,C00160<=>C00048
K00128	1	0	1	0	aldehyde_dehydrogenase_(NAD+)_[EC:1.2.1.3]	cdf:CD630_22060	Glycolysis_/_Gluconeogenesis,Pentose_and_glucuronate_interconversions,Ascorbate_and_aldarate_metabolism,Fatty_acid_degradation,Valine,_leucine_and_isoleucine_degradation,Lysine_degradation,Arginine_and_proline_metabolism,Histidine_metabolism,Tryptophan_metabolism,beta-Alanine_metabolism,Glycerolipid_metabolism,Pyruvate_metabolism,Chloroalkane_and_chloroalkene_degradation,Propanoate_metabolism,Limonene_and_pinene_degradation,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments	R00264,R00631,R00710,R00904,R01752,R01986,R02549,R02678,R02940,R02957,R03283,R03869,R04065,R04903,R05050,R05237,R05238,R05286,R06366	C00433=>C00026,C00433<=>C00026,C00162<=>C00071,C00162=>C00071,C00084<=>C00033,C05665=>C00099,C00577<=>C00258,C00555=>C00334,C00555=>C00334,C00637=>C00954,C00637<=>C00954,C05985=>C00804,C02670<=>C00818,C01149=>C01181,C06002=>C02170,C05130=>C02835,C05634=>C05635,C05634<=>C05635,C05936=>C02946,C05936<=>C02946,C06613=>C06614,C06614<=>C06613,C06613<=>C06614,C16348=>C06615,C06615<=>C16348,C16348<=>C06615,C06754=>C06755,C06755<=>C06754,C06754<=>C06755,C02576=>C11924,C02576<=>C11924
K00131	3	1	1	0	glyceraldehyde-3-phosphate_dehydrogenase_(NADP)_[EC:1.2.1.9]	cdf:CD630_05800	Glycolysis_/_Gluconeogenesis,Metabolic_pathways,Microbial_metabolism_in_diverse_environments	R01058	C00118=>C00197,C00118<=>C00197
K00133	17	18	9	2	aspartate-semialdehyde_dehydrogenase_[EC:1.2.1.11]	cdf:CD630_32240	Glycine,_serine_and_threonine_metabolism,Cysteine_and_methionine_metabolism,Lysine_biosynthesis,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments,2-Oxocarboxylic_acid_metabolism,Biosynthesis_of_amino_acids	R02291	C03082=>C00441,C03082<=>C00441,C00441<=>C03082
K00134	173	59	38	144	glyceraldehyde_3-phosphate_dehydrogenase_[EC:1.2.1.12]	cdf:CD630_17670,cdf:CD630_31740	Glycolysis_/_Gluconeogenesis,Carbon_fixation_in_photosynthetic_organisms,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments,Carbon_metabolism,Biosynthesis_of_amino_acids,HIF-1_signaling_pathway,Alzheimer's_disease	R01061	C00118<=>C00236,C00236=>C00118
K00145	0	0	0	0	N-acetyl-gamma-glutamyl-phosphate_reductase_[EC:1.2.1.38]	cdf:CD630_20340	Arginine_and_proline_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,2-Oxocarboxylic_acid_metabolism,Biosynthesis_of_amino_acids	R03443	C04133=>C01250,C04133<=>C01250,C01250<=>C04133
K00161	1	1	1	0	pyruvate_dehydrogenase_E1_component_subunit_alpha_[EC:1.2.4.1]	cdf:CD630_00360	Glycolysis_/_Gluconeogenesis,Citrate_cycle_(TCA_cycle),Pyruvate_metabolism,Butanoate_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments,Carbon_metabolism,HIF-1_signaling_pathway	R00014,R03270	C00022+C00068=>C05125,C00068+C00022=>C05125,C00022<=>C05125,C05125+C15972=>C16255+C00068,C15972+C05125=>C16255+C00068,C05125+C15972=>C00068+C16255
K00162	1	2	2	0	pyruvate_dehydrogenase_E1_component_subunit_beta_[EC:1.2.4.1]	cdf:CD630_00370	Glycolysis_/_Gluconeogenesis,Citrate_cycle_(TCA_cycle),Pyruvate_metabolism,Butanoate_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments,Carbon_metabolism,HIF-1_signaling_pathway	R00014,R03270	C00022+C00068=>C05125,C00068+C00022=>C05125,C00022<=>C05125,C05125+C15972=>C16255+C00068,C15972+C05125=>C16255+C00068,C05125+C15972=>C00068+C16255
K00174	73	219	229	40	2-oxoglutarate_ferredoxin_oxidoreductase_subunit_alpha_[EC:1.2.7.3]	cdf:CD630_01160	Citrate_cycle_(TCA_cycle),Carbon_fixation_pathways_in_prokaryotes,Metabolic_pathways,Microbial_metabolism_in_diverse_environments,Carbon_metabolism	R01197	C00026=>C00091,C00011+C00091=>C00026,C00091+C00011<=>C00026
K00175	66	212	198	17	2-oxoglutarate_ferredoxin_oxidoreductase_subunit_beta_[EC:1.2.7.3]	cdf:CD630_01170,cdf:CD630_21980	Citrate_cycle_(TCA_cycle),Carbon_fixation_pathways_in_prokaryotes,Metabolic_pathways,Microbial_metabolism_in_diverse_environments,Carbon_metabolism	R01197	C00026=>C00091,C00011+C00091=>C00026,C00091+C00011<=>C00026
K00176	31	88	95	3	2-oxoglutarate_ferredoxin_oxidoreductase_subunit_delta_[EC:1.2.7.3]	cdf:CD630_01150	Citrate_cycle_(TCA_cycle),Carbon_fixation_pathways_in_prokaryotes,Metabolic_pathways,Microbial_metabolism_in_diverse_environments,Carbon_metabolism	R01197	C00026=>C00091,C00011+C00091=>C00026,C00091+C00011<=>C00026
K00177	63	198	197	8	2-oxoglutarate_ferredoxin_oxidoreductase_subunit_gamma_[EC:1.2.7.3]	cdf:CD630_01180,cdf:CD630_21970	Citrate_cycle_(TCA_cycle),Carbon_fixation_pathways_in_prokaryotes,Metabolic_pathways,Microbial_metabolism_in_diverse_environments,Carbon_metabolism	R01197	C00026=>C00091,C00011+C00091=>C00026,C00091+C00011<=>C00026
K00179	20	98	77	0	indolepyruvate_ferredoxin_oxidoreductase,_alpha_subunit_[EC:1.2.7.8]	cdf:CD630_23810	NA	NA	NA
K00180	18	96	69	5	indolepyruvate_ferredoxin_oxidoreductase,_beta_subunit_[EC:1.2.7.8]	cdf:CD630_23800	NA	NA	NA
K00194	16	34	63	2	acetyl-CoA_decarbonylase/synthase_complex_subunit_delta_[EC:2.1.1.245]	cdf:CD630_07250	Methane_metabolism,Carbon_fixation_pathways_in_prokaryotes,Microbial_metabolism_in_diverse_environments,Carbon_metabolism	R09096,R10243	C00024+C01217<=>C00237+C04488,C00024<=>C04488,C00024+C01217<=>C04488,C00237+C00440=>C00101+C00024,C00101+C00024<=>C00237+C00440
K00196	48	69	142	1	carbon-monoxide_dehydrogenase_iron_sulfur_subunit	cdf:CD630_01750	Nitrotoluene_degradation,Methane_metabolism,Carbon_fixation_pathways_in_prokaryotes,Microbial_metabolism_in_diverse_environments,Carbon_metabolism	R07157,R08034	C00011<=>C00237,C00011=>C00237,C00237<=>C00011,C16396=>C16399,C16396<=>C16399
K00197	14	38	72	7	acetyl-CoA_decarbonylase/synthase_complex_subunit_gamma_[EC:2.1.1.245]	cdf:CD630_07260	Methane_metabolism,Carbon_fixation_pathways_in_prokaryotes,Microbial_metabolism_in_diverse_environments,Carbon_metabolism	R09096,R10243	C00024+C01217<=>C00237+C04488,C00024<=>C04488,C00024+C01217<=>C04488,C00237+C00440=>C00101+C00024,C00101+C00024<=>C00237+C00440
K00198	88	120	284	4	carbon-monoxide_dehydrogenase_catalytic_subunit_[EC:1.2.99.2_1.2.7.4]	cdf:CD630_01740,cdf:CD630_07160	Nitrotoluene_degradation,Methane_metabolism,Carbon_fixation_pathways_in_prokaryotes,Microbial_metabolism_in_diverse_environments,Carbon_metabolism	R07157,R08034	C00011<=>C00237,C00011=>C00237,C00237<=>C00011,C16396=>C16399,C16396<=>C16399
K00215	23	25	25	3	4-hydroxy-tetrahydrodipicolinate_reductase_[EC:1.17.1.8]	cdf:CD630_32260,cdf:CD630_32290	Lysine_biosynthesis,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments,Biosynthesis_of_amino_acids	R04198,R04199	C03972<=C20258,C20258<=>C03972,C03972<=>C20258,C20258=>C03972,C03972<=C20258,C20258<=>C03972,C03972<=>C20258,C20258=>C03972
K00226	3	2	3	1	dihydroorotate_dehydrogenase_(fumarate)_[EC:1.3.98.1]	cdf:CD630_01860,cdf:CD630_20770	Pyrimidine_metabolism,Metabolic_pathways	R01867	C00337<=>C00295,C00295<=>C00337
K00243	5	3	4	0	hypothetical_protein	cdf:CD630_10080	NA	NA	NA
K00248	258	200	466	21	butyryl-CoA_dehydrogenase_[EC:1.3.8.1]	cdf:CD630_03990,cdf:CD630_10540	Fatty_acid_degradation,Valine,_leucine_and_isoleucine_degradation,Butanoate_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Fatty_acid_metabolism	R01171,R01175,R02661,R03172,R04751	C00136<=>C00877,C00877<=>C00136,C00136=>C00877,C00877<=>C00136,C00136<=>C00877,C00630<=>C03460,C00630=>C03460,C15980<=>C03345,C15980=>C03345,C03345<=>C15980,C05270=>C05271,C05271<=>C05270
K00260	85	218	314	6	glutamate_dehydrogenase_[EC:1.4.1.2]	cdf:CD630_01790	Alanine,_aspartate_and_glutamate_metabolism,Arginine_and_proline_metabolism,Taurine_and_hypotaurine_metabolism,Nitrogen_metabolism,Metabolic_pathways	R00243	C00025<=>C00026+C00014,C00025<=>C00014,C00025=>C00026,C00025<=>C00026,C00026<=>C00025
K00266	41	61	123	7	glutamate_synthase_(NADPH/NADH)_small_chain_[EC:1.4.1.13_1.4.1.14]	cdf:CD630_15370	Alanine,_aspartate_and_glutamate_metabolism,Nitrogen_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments,Biosynthesis_of_amino_acids	R00093,R00114,R00248	C00064+C00026=>C00025,C00025<=C00064,C00026<=>C00025,C00025<=>C00026,C00025<=>C00064,C00026=>C00025,C00025<=C00064,C00026<=>C00025,C00025<=>C00026,C00025<=>C00064,C00064=>C00025,C00025<=>C00026+C00014,C00025<=>C00014,C00025<=>C00026,C00026<=>C00025
K00278	1	1	1	0	L-aspartate_oxidase_[EC:1.4.3.16]	cdf:CD630_23710	Alanine,_aspartate_and_glutamate_metabolism,Nicotinate_and_nicotinamide_metabolism,Metabolic_pathways	R00357,R00481	C00049=>C00036,C00036<=>C00049,C00049=>C05840,C00049<=>C05840
K00282	3	6	37	0	glycine_dehydrogenase_subunit_1_[EC:1.4.4.2]	cdf:CD630_16570	Glycine,_serine_and_threonine_metabolism,Metabolic_pathways,Carbon_metabolism	R03425	C00037+C02051=>C01242+C00011,C01242<=>C00037
K00283	4	8	41	0	glycine_dehydrogenase_subunit_2_[EC:1.4.4.2]	cdf:CD630_16580	Glycine,_serine_and_threonine_metabolism,Metabolic_pathways,Carbon_metabolism	R03425	C00037+C02051=>C01242+C00011,C01242<=>C00037
K00286	43	31	20	11	pyrroline-5-carboxylate_reductase_[EC:1.5.1.2]	cdf:CD630_14950,cdf:CD630_32810	Arginine_and_proline_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Biosynthesis_of_amino_acids	R01248,R01251,R03291,R03293	C00148<=>C03912,C03912<=>C00148,C03912=>C00148,C00148<=>C03912,C03912<=>C00148,C03912=>C00148,C04281=>C01157,C01157<=>C04281,C04281=>C01157,C01157<=>C04281
K00334	16	74	48	1	NADH-quinone_oxidoreductase_subunit_E_[EC:1.6.5.3]	cdf:CD630_34050	Oxidative_phosphorylation,Metabolic_pathways	NA	NA
K00335	15	83	48	1	NADH-quinone_oxidoreductase_subunit_F_[EC:1.6.5.3]	cdf:CD630_34060	Oxidative_phosphorylation,Metabolic_pathways	NA	NA
K00366	0	3	3	0	ferredoxin-nitrite_reductase_[EC:1.7.7.1]	cdf:CD630_24310	Nitrogen_metabolism,Microbial_metabolism_in_diverse_environments	R00790	C00014<=C00088,C00014=>C00088
K00375	0	0	0	0	GntR_family_transcriptional_regulator_/_MocR_family_aminotransferase	cdf:CD630_33530	NA	NA	NA
K00382	12	25	44	1	dihydrolipoamide_dehydrogenase_[EC:1.8.1.4]	cdf:CD630_00390,cdf:CD630_07230	Glycolysis_/_Gluconeogenesis,Citrate_cycle_(TCA_cycle),Glycine,_serine_and_threonine_metabolism,Valine,_leucine_and_isoleucine_degradation,Pyruvate_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments,Carbon_metabolism	R03815,R07618,R08549	C02972=>C02051,C15973<=>C15972,C15973=>C15972,C00026=>C00091
K00384	131	144	174	5	thioredoxin_reductase_(NADPH)_[EC:1.8.1.9]	cdf:CD630_16910,cdf:CD630_21170,cdf:CD630_23560	Pyrimidine_metabolism,Selenocompound_metabolism	R02016,R03596,R09372	C00343=>C00342,C00343=>C00342+C00342,C01528<=C05684,C18902=>C05703
K00385	0	0	0	0	anaerobic_sulfite_reductase_subunit_C	cdf:CD630_22310	Sulfur_metabolism,Microbial_metabolism_in_diverse_environments	R00858,R10146	C00094<=>C00283,C00283=>C00094,C00283<=>C00094,C00094<=>C00283,C00283<=>C00094
K00525	6	2	2	0	ribonucleoside-diphosphate_reductase_alpha_chain_[EC:1.17.4.1]	cdf:CD630_12610,cdf:CD630_29950	Purine_metabolism,Pyrimidine_metabolism,Metabolic_pathways	R02017,R02018,R02019,R02024	C00008=>C00206,C00008<=>C00206,C00342+C00015=>C00343+C01346,C00035=>C00361,C00035<=>C00361,C00112+C00342=>C00343+C00705,C00112<=>C00705
K00526	2	0	0	6	ribonucleoside-diphosphate_reductase_beta_chain_[EC:1.17.4.1]	cdf:CD630_29940	Purine_metabolism,Pyrimidine_metabolism,Metabolic_pathways	R02017,R02018,R02019,R02024	C00008=>C00206,C00008<=>C00206,C00342+C00015=>C00343+C01346,C00035=>C00361,C00035<=>C00361,C00112+C00342=>C00343+C00705,C00112<=>C00705
K00527	31	25	25	5	ribonucleoside-triphosphate_reductase_[EC:1.17.4.2]	cdf:CD630_01080	Purine_metabolism,Pyrimidine_metabolism,Metabolic_pathways	R02014,R02020,R02022,R02023	C00002=>C00131,C00002<=>C00131,C00044=>C00286,C00044<=>C00286,C00342+C00063=>C00343+C00458,C00063<=>C00458,C00342+C00342=>C00343
K00528	38	48	101	10	ferredoxin--NADP+_reductase_[EC:1.18.1.2]	cdf:CD630_15360	NA	NA	NA
K00532	12	11	15	0	ferredoxin_hydrogenase_[EC:1.12.7.2]	cdf:CD630_33140	Methane_metabolism	R00019	C00080=>C00282
K00548	4	6	4	0	5-methyltetrahydrofolate--homocysteine_methyltransferase_[EC:2.1.1.13]	cdf:CD630_35960	Cysteine_and_methionine_metabolism,Selenocompound_metabolism,One_carbon_pool_by_folate,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Biosynthesis_of_amino_acids	R00946,R09365	C00155=>C00073,C00440<=>C00101,C00155<=>C00073,C05698=>C05335
K00554	9	4	3	4	tRNA_(guanine37-N1)-methyltransferase_[EC:2.1.1.228]	cdf:CD630_12560	NA	NA	NA
K00558	4	4	3	0	DNA_(cytosine-5)-methyltransferase_1_[EC:2.1.1.37]	cdf:CD630_09270,cdf:CD630_31470	Cysteine_and_methionine_metabolism,Metabolic_pathways,MicroRNAs_in_cancer	R04858	C00019=>C00021,C00021<=>C00019
K00561	41	85	73	4	23S_rRNA_(adenine2085-N6)-dimethyltransferase_[EC:2.1.1.184]	cdf:CD630_20070,cdf:CD630_20100	NA	NA	NA
K00566	7	7	5	2	tRNA-specific_2-thiouridylase_[EC:2.8.1.-]	cdf:CD630_12810	Sulfur_relay_system	NA	NA
K00567	3	1	3	0	methylated-DNA-[protein]-cysteine_S-methyltransferase_[EC:2.1.1.63]	cdf:CD630_06010,cdf:CD630_17700	NA	NA	NA
K00574	10	6	14	1	cyclopropane-fatty-acyl-phospholipid_synthase_[EC:2.1.1.79]	cdf:CD630_01770	NA	NA	NA
K00575	7	4	3	1	chemotaxis_protein_methyltransferase_CheR_[EC:2.1.1.80]	cdf:CD630_05410	Two-component_system,Bacterial_chemotaxis	NA	NA
K00602	20	24	41	2	phosphoribosylaminoimidazolecarboxamide_formyltransferase_/_IMP_cyclohydrolase_[EC:2.1.2.3_3.5.4.10]	cdf:CD630_02230,cdf:CD630_08410	Purine_metabolism,One_carbon_pool_by_folate,Metabolic_pathways,Biosynthesis_of_secondary_metabolites	R01127,R04560	C04734<=>C00130,C00130<=>C04734,C04677=>C04734,C00234<=>C00101,C00101<=>C00234,C04677<=>C04734
K00604	9	4	6	3	methionyl-tRNA_formyltransferase_[EC:2.1.2.9]	cdf:CD630_25840	One_carbon_pool_by_folate,Aminoacyl-tRNA_biosynthesis	R03940	C00234=>C00101,C02430+C00234=>C00101+C03294
K00606	2	1	4	0	3-methyl-2-oxobutanoate_hydroxymethyltransferase_[EC:2.1.2.11]	cdf:CD630_15130	Pantothenate_and_CoA_biosynthesis,Metabolic_pathways,Biosynthesis_of_secondary_metabolites	R01226	C00141=>C00966,C00141<=>C00966
K00609	5	3	3	7	aspartate_carbamoyltransferase_catalytic_subunit_[EC:2.1.3.2]	cdf:CD630_01840	Pyrimidine_metabolism,Alanine,_aspartate_and_glutamate_metabolism,Metabolic_pathways	R01397	C00169=>C00438,C00049=>C00438,C00438<=>C00169
K00611	0	0	0	0	ornithine_carbamoyltransferase_[EC:2.1.3.3]	cdf:CD630_20300	Arginine_and_proline_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Biosynthesis_of_amino_acids	R01398	C00077+C00169=>C00327,C00077+C00169<=>C00327,C00077<=>C00327
K00616	27	15	12	3	transaldolase_[EC:2.2.1.2]	cdf:CD630_23290	Pentose_phosphate_pathway,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments,Carbon_metabolism,Biosynthesis_of_amino_acids	R01827	C05382+C00118<=>C00279+C05345,C00118+C05382<=>C00279+C05345,C00118+C05382<=>C05345+C00279,C05382<=>C00279
K00620	0	0	0	0	glutamate_N-acetyltransferase_/_amino-acid_N-acetyltransferase_[EC:2.3.1.35_2.3.1.1]	cdf:CD630_20330	Arginine_and_proline_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,2-Oxocarboxylic_acid_metabolism,Biosynthesis_of_amino_acids	R00259,R02282	C00025=>C00624,C00025<=>C00624,C00437<=>C00077,C00437=>C00077
